Symbol
AAPL
MSFT
NVDA
GOOGL
AMZN
META
TSLA
JPM
JNJ
UNH
V
MA
HD
PG
XOM
CVX
MRK
ABBV
PFE
LLY
AVGO
ORCL
CSCO
ADBE
CRM
AMD
INTC
QCOM
TXN
AMAT
NFLX
DIS
CMCSA
VZ
T
WMT
COST
TGT
MCD
SBUX
NKE
BA
CAT
DE
HON
GE
MMM
UPS
RTX
LMT
GS
MS
BAC
WFC
C
BLK
AXP
SCHW
USB
PNC
CME
SPG
AMT
PLD
CCI
EQIX
DLR
O
PSA
AVB
KO
PEP
PM
MO
MDLZ
STZ
GIS
EL
CL
CLX
ECL
EMR
ETN
PH
ROK
SWK
ITW
ROP
CARR
OTIS
TT
AME
XYL
FAST
ROST
TJX
LOW
EBAY
BKNG
EXPE
MAR
HLT
NEE
DUK
SO
D
AEP
EXC
SRE
PCG
ED
WEC
AWK
TRGP
WMB
OKE
KMI
BKR
SLB
HAL
DVN
MRO
EOG
HES
COP
OXY
PSX
VLO
MPC
SOFI
PLTR
NOW
SCO
LULU
